N,version,procesos,tiempo
1000,seq,1,0.004026
1000,gpu,1,0.105731
1000,mpi,1,0.004525
1000,mpi,2,0.003639
1000,mpi,4,0.004723
1000,mpi,6,0.001941
2000,seq,1,0.024073
2000,gpu,1,0.094113
2000,mpi,1,0.025861
2000,mpi,2,0.021962
2000,mpi,4,0.023871
2000,mpi,6,0.009974
3000,seq,1,0.072706
3000,gpu,1,0.097587
3000,mpi,1,0.080077
3000,mpi,2,0.077965
3000,mpi,4,0.085151
3000,mpi,6,0.075427
4000,seq,1,0.164472
4000,gpu,1,0.108821
4000,mpi,1,0.181793
4000,mpi,2,0.155012
4000,mpi,4,0.159021
4000,mpi,6,0.191032
5000,seq,1,0.305568
5000,gpu,1,0.12103
5000,mpi,1,0.330354
5000,mpi,2,0.30629
5000,mpi,4,0.315133
5000,mpi,6,0.289949
6000,seq,1,0.495823
6000,gpu,1,0.141247
6000,mpi,1,0.523286
6000,mpi,2,0.517306
6000,mpi,4,0.523493
6000,mpi,6,0.527498
7000,seq,1,0.820557
7000,gpu,1,0.172747
7000,mpi,1,0.872335
7000,mpi,2,0.715762
7000,mpi,4,0.716373
7000,mpi,6,0.820381
8000,seq,1,1.097357
8000,gpu,1,0.207906
8000,mpi,1,1.191984
8000,mpi,2,1.022679
8000,mpi,4,1.171519
8000,mpi,6,1.138207
9000,seq,1,1.568796
9000,gpu,1,0.262112
9000,mpi,1,1.626645
9000,mpi,2,1.508415
9000,mpi,4,1.661821
9000,mpi,6,1.668012
